title,genres,overview
God Grew Tired of Us,Documentary,"GOD GREW TIRED OF US explores the indomitable spirit of three “Lost Boys” from the Sudan who leave their homeland, triumph over seemingly insurmountable adversities and move to America, where they build active and fulfilling new lives but remain deeply committed to helping the friends and family they have left behind."
Trevor Noah: African American,Comedy,"Internationally acclaimed comedian Trevor Noah challenges the status quo through his unique perspective, breaking down cultural flaws on all sides and finding our mutual connections with laughter. Born a mixed-race child in South Africa under Apartheid, 'Trevor Noah: African American' is Noah¿s search for identity in a world obsessed with labels."
Little Forest: Winter/Spring,Drama,"Ichiko (Ai Hashimoto) lived in a big city, but goes back to her small hometown Komori, located on a mountain in the Tohoku region. She is self-sufficient. Ichiko gains energy living among nature and eating foods she makes from seasonal ingredients."
Cookie's Fortune,"Comedy, Drama, Thriller",Conflict arises in the small town of Holly Springs when an old woman's death causes a variety of reactions among family and friends.
Leap Year,"Drama, Comedy, Romance","Journalist Laura (Monica del Carmen) works at home, isolating herself from others. While she lies to her mother and brother, Raul (Marco Zapata), on the phone about having an active social life, Laura's days consist of gazing at her neighbors, eating canned food and going to clubs to bring home strangers. As the anniversary of her father's death draws near, Laura develops a relationship with Arturo (Gustavo Sánchez Parra), a charismatic actor who shares her taste for rough sex."
Mars and April,"Drama, Science Fiction","Set in a futuristic environment, ""Mars et Avril"" tells the story of an elderly musician and his instrument maker who both become obsessed with the same woman. She agrees to be the model for their next musical instrument but then gets lost in a virtual world on the way to Mars."
Phantom Halo,"Thriller, Crime, Drama",Two brothers barely scrape by as their father continues to gamble and drink away the money they do bring home. They hatch a plan for a robbery but at what price?
Best Christmas Party Ever,Comedy,"With the holidays approaching, a young party planner arranges a special Christmas party for a New York toy store. When a powerful corporation threatens to shut her down, she decides to follow her heart, moving forward with the party plans and finding true love in time for Christmas."
Clash,"Thriller, Drama","Inspired by a real event , Clash takes place almost entirely in a riot van during a demonstration in Cairo after the removal of President Morsi in 2013."
Seven Years in Tibet,"Adventure, Drama, History","Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life."
Pretty Cool Too,Comedy,"After graduating from high school, lovable geek Walter (Eric Fagundes) receives a cell phone as a gift which could solve all of his problems. It comes with a personal genie that could control anyone, including Walter's overprotective parents, his pesky brother, and sexy neighbors. With such incredible powers at his disposal, Walter sets out to make his wildest dreams come true."
Halloween,Horror,"After being committed for 17 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution (where he was committed as a 10 year old) and he immediately returns to Haddonfield, where he wants to find his baby sister, Laurie. Anyone who crosses his path is in mortal danger"
So Dark the Night,"Drama, Mystery","A French police detective investigates his fiancée""s murder."
Arachnophobia,"Comedy, Horror","A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks."
Holes in My Shoes,Unknown,"94-year-old New Yorker, Jack Beers, has broken the age barrier full force. He can do what most young men can, and his diverse lifetime achievements would take many to accomplish. The film begins with Mayor Bloomberg acknowledging Jack, we see Jack's name on the marquee of Radio City Music Hall, and at 94 he rips a telephone book into 4 pieces with his hands. Jack was raised in poverty in Manhattan, was a strongman, built Radio City Music Hall, at The Manhattan Project he invented something that shortened WW2, erected the Empire State Building spire, was a professional dog trainer, was a film actor in 200+ films, beat terminal illnesses, and today rides 5 miles on a stationary bike. He's ""goin' for 100!"""
Rocky IV,Drama,"Rocky must come out of retirement to battle a gargantuan Soviet fighter named Drago, who brutally punished Rocky's friend and former rival, Apollo Creed. Seeking revenge in the name of his fallen comrade and his country, Rocky agrees to fight Drago in Moscow on Christmas, and the bout changes both fighters -- and the world."
Señor Droopy,Animation,"The wolf, the champion toreador, and Droopy, the challenger, are competing to see who is best in the bullring in the hopes of winning the hand of actress Lina Romay (who appears in a live action shot)."
Reign of Fire,"Adventure, Action, Fantasy","In post-apocalyptic England, an American volunteer and a British survivor team up to fight off a brood of fire-breathing dragons seeking to return to global dominance after centuries of rest underground. The Brit -- leading a clan of survivors to hunt down the King of the Dragons -- has much at stake: His mother was killed by a dragon, but his love is still alive."
